time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,Appl:Electricity [kW](Hourly),Total:Electricity [kW](Hourly),hour,weekday,month
2013-08-25 11:00:00,1.64816873744,0.018358381217,0.0,0.0,0.542794693993,0.15417378003,0.696968474023,0.15417378003,0.0575360273073,0.0123947863348,0.350527100905,0.266529947967,0.247568400901,0.0,4.149194110148099,11,6,8
2013-08-25 12:00:00,1.7504448873,0.018993203745,0.0,0.0,0.655256342205,0.186116527273,0.841372869478,0.186116527273,0.0575360273073,0.0123947863348,0.319445169994,0.275746404112,0.227305630074,0.0,4.5307283750961,12,6,8
2013-08-25 13:00:00,1.92133082364,0.0200626795356,0.0,0.0,0.814226475276,0.228420006885,1.04264648216,0.228420006885,0.0575360273073,0.0123947863348,0.294631345917,0.291273226626,0.206204955291,0.0,5.1171468158577005,13,6,8
2013-08-25 14:00:00,2.0923363944,0.0211779083011,0.0,0.0,0.927077014231,0.260079208537,1.18715622277,0.260079208537,0.0575360273073,0.0123947863348,0.301544742847,0.307464298231,0.209596316907,0.0,5.636442128403201,14,6,8
2013-08-25 15:00:00,2.23768127985,0.0250497538101,0.0,0.0,0.935403603764,0.268395366137,1.2037989699,0.268395366137,0.0611320215454,0.013169460588,0.343460130304,0.3636763776,0.23580031991,0.0,5.9559626495455005,15,6,8
2013-08-25 16:00:00,2.48470569787,0.0304314474939,0.0,0.0,0.940483734136,0.275750277098,1.21623401123,0.275750277098,0.0791120325685,0.017042831854,0.420322530775,0.441808676988,0.293541614455,0.0,6.4751831315664,16,6,8
2013-08-25 17:00:00,2.46278332393,0.0330393670687,0.0,0.0,0.798983161235,0.244219330679,1.04320249191,0.244219330679,0.133052057671,0.0286629422194,0.383153984987,0.479670875204,0.348396971932,0.0,6.199383837515099,17,6,8
2013-08-25 18:00:00,2.35837022198,0.0341031237373,0.0,0.0,0.653203947551,0.204854464519,0.858058412069,0.204854464519,0.258912095,0.0557765325,0.315283626754,0.495114666582,0.358580889071,0.0,5.7971124442823,18,6,8
2013-08-25 19:00:00,2.38099127042,0.0352755437216,0.0,0.0,0.535627102247,0.170697068991,0.706324171238,0.170697068991,0.442308135737,0.0952849211288,0.282131328171,0.512136049552,0.326162664596,0.0,5.6576353247934,19,6,8
2013-08-25 20:00:00,2.31792922085,0.0344519901717,0.0,0.0,0.419599963168,0.136605141721,0.556205104889,0.136605141721,0.568168173065,0.122398511409,0.267221753354,0.500179565905,0.287112112226,0.0,5.3464766784797,20,6,8
2013-08-25 21:00:00,1.82692167627,0.0298137823315,0.0,0.0,0.314465525966,0.102416604231,0.416882130197,0.102416604231,0.424328164546,0.0914115584439,0.216614016064,0.432841314253,0.22820049277,0.0,4.1863118693034,21,6,8
2013-08-25 22:00:00,1.32270177955,0.0259076220912,0.0,0.0,0.195166492979,0.0642904585015,0.259456951481,0.0642904585015,0.294872117046,0.0635232750319,0.147046288352,0.376131048066,0.165028099576,0.0,2.9784145911761004,22,6,8
2013-08-25 23:00:00,0.848954218178,0.0214295496636,0.0,0.0,0.107732641142,0.0355026847873,0.143235325929,0.0355026847873,0.151032028862,0.0325363220663,0.0979808984401,0.311117668235,0.0964079746467,0.0,1.8814319967372999,23,6,8
2013-08-26 00:00:00,0.627306429194,0.0197309704668,0.0,0.0,0.044899184132,0.0148025587781,0.0597017429101,0.0148025587781,0.0899000152827,0.0193668477487,0.0875042465431,0.286457420712,0.0677321559971,0.0,1.3322041305427,0,0,8
2013-08-26 01:00:00,0.529589852201,0.0195022055919,0.0,0.0,0.0166539388961,0.00546567914149,0.0221196180376,0.00546567914149,0.0611320215454,0.013169460588,0.0743281826877,0.283136175255,0.0590603940873,0.0,1.08962320717298,1,0,8
2013-08-26 02:00:00,0.497265705647,0.0192276877419,0.0,0.0,0.0,0.0,0.0,0.0,0.0611320215454,0.013169460588,0.0655928820049,0.279150680706,0.0615766608027,0.0,0.9971150990358999,2,0,8
2013-08-26 03:00:00,0.524341275232,0.0185013592638,0.0,0.0,0.0,0.0,0.0,0.0,0.0611320215454,0.013169460588,0.0762719894816,0.268605726378,0.0885180772388,0.0,1.0505399097275998,3,0,8
2013-08-26 04:00:00,0.692574504084,0.0206460299668,0.0,0.0,0.0,0.0,0.0,0.0,0.06472802375,0.0139441348412,0.0895570515125,0.299742402542,0.207958891437,0.0,1.3891510381335002,4,0,8
2013-08-26 05:00:00,1.06685324738,0.0238544573383,0.0,0.0,0.0,0.0,0.0,0.0,0.104284055967,0.0224655516263,0.146457255179,0.346322870084,0.430679514523,0.0,2.1409169520975997,5,0,8
2013-08-26 06:00:00,1.3837484898,0.0253471481476,0.0,0.0,0.0315002386889,0.0100537675373,0.0415540062262,0.0100537675373,0.183396040737,0.0395083886288,0.230459913765,0.367993996695,0.489192143754,0.0,2.8128079015171,6,0,8
2013-08-26 07:00:00,1.35802962649,0.0214295496636,0.0,0.0,0.0612932175172,0.0190951690533,0.0803883865705,0.0190951690533,0.143840088185,0.0309869701276,0.3023400993,0.311117668235,0.472712414077,0.0,2.8203283582725,7,0,8
2013-08-26 08:00:00,1.36536380772,0.0182382796576,0.0,0.0,0.153101590426,0.0458468097818,0.198948400207,0.0458468097818,0.0719200281592,0.0154934833476,0.37588557592,0.264786294102,0.421686025988,0.0,2.977117105091,8,0,8
2013-08-26 09:00:00,1.47105324937,0.0186672137982,0.0,0.0,0.27326203231,0.0801465829047,0.353408615215,0.0801465829047,0.0575360273073,0.0123947863348,0.39768547199,0.271013629335,0.362370719192,0.0,3.3776849106617,9,0,8
2013-08-26 10:00:00,1.55405369485,0.0186729329201,0.0,0.0,0.367171395437,0.105372644801,0.472544040238,0.105372644801,0.0575360273073,0.0123947863348,0.413557851125,0.271096660471,0.310280329376,0.0,3.6880530076612,10,0,8
2013-08-26 11:00:00,1.6098006495,0.018358381217,0.0,0.0,0.455608532887,0.132310690422,0.587919223309,0.132310690422,0.0575360273073,0.0123947863348,0.398337606996,0.266529947967,0.270439057582,0.0,3.9415455939440998,11,0,8
2013-08-26 12:00:00,1.71863438258,0.018993203745,0.0,0.0,0.579752576984,0.166363611572,0.746116188556,0.166363611572,0.0575360273073,0.0123947863348,0.363033202508,0.275746404112,0.247163773763,0.0,4.3520977690341,12,0,8
2013-08-26 13:00:00,1.90937324421,0.0200626795356,0.0,0.0,0.760249508996,0.213295723946,0.973545232942,0.213295723946,0.0575360273073,0.0123947863348,0.333756918092,0.291273226626,0.22422305291,0.0,5.0090061248457,13,0,8
2013-08-26 14:00:00,2.03869274911,0.0211779083011,0.0,0.0,0.837934254684,0.240452885139,1.07838713982,0.240452885139,0.0575360273073,0.0123947863348,0.338603715702,0.307464298231,0.227662781714,0.0,5.4007594314822,14,0,8
